0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/js/responsiveslides.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/assets/images/t1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/assets/images/c.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/assets/images/c2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/assets/images/c3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/assets/images/r1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/assets/images/c1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/assets/images/r2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/assets/images/r5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/assets/images/r3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/assets/images/g.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/assets/images/r6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/assets/images/r4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/assets/images/lines.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2017:01:56:42 -0700] "GET /MoivePredictions/assets/images/9.png HTTP/1.1" 304 -
